name,location,latitude,longitude
STAR MAHIDOL CHIANGMAI (DRIVE-THRU),STAR MAHIDOL CHIANGMAI (DRIVE-THRU),18.765136,98.991677
PTT SUPHANBURI (DRIVE-THRU),"97/1 Malaiman Road, Thapeeliang, Muang Suphanburi, Suphanburi 72000",14.476195,100.112271
WUFOO KHONKAEN (DRIVE-THRU),"567/84 Moo 8 Mittrapap Road, Muangkao, Muang Khonkaen, Khonkaen 40000",16.408179,102.815765
ROBINSON SRISAMAN (DRIVE-THRU),"99 Moo 1 Banmai, Pakkred, Nonthaburi 11120",13.939487,100.552913
CENTRAL PLAZA BANGNA,"587 Bangna Trad Road, Bangna, Prakhanong, Bangkok 10260",13.668806,100.634235
THE MALL BANGKAE 1,"275 Moo 1, Petchkasem Road, Bangkae Nua, Bangkae, Bangkok 10160",13.713718,100.407254
FAIRY PLAZA KHONKAEN,"69/9 Klang Muang Road, Nai Muang, Muang, Khonkaen 40000",16.422908,102.834585
MEECHOK CHIANGMAI (DRIVE-THRU),"210 Moo 6, Chiangmaiprao Road, Fah Ham, Muang Chiangmai, Chiangmai 50000",18.823731,99.011612
METRO WEST TOWN,"212/1 Kallapapruek Road, Bangwa, Pasicharoen, Bangkok 10160",13.708802,100.450985
CENTURY ONNUCH,"2089 Sukhumvit Road, Prakanong Nua, Wattana, Bangkok 10110",13.705282,100.601453
PHI PHI ISLAND,58/9-10 Moo 7 Ao Nang Krabi 81000,7.738724,98.770936
MAX VALU SRINAKARIN (DRIVE-THRU),"2601 Moo 6, Pattanakarn Road, Suanluang, Bangkok 10250",13.735868,100.641462
PRAMONGKUTKLAO HOSPITAL,"315 Ratchawithi Road, Tung Phayathai, Ratchathewi, Bangkok 10400",13.767512,100.534354
SATHONNAKORN,"100/71 Sathorn Nua Road, Silom, Bangrak, Bangkok 10500",13.723267,100.529984
PTT MOTORWAY OUTBOUND,"45/63 Motorway (East) Moo 7, Kaodin, Bangpakong, Chachoengsao 24130",13.539328,101.009594
LOTUS 'S SUKHUMVIT 50,"1710 Sukhumvit Road, Prakhanong, Klongtoey, Bangkok 10250",13.705266,100.600869
LOTUS 'S BANGKAPI,"No. 3109 Lotus Super Center Bangkapi , Ladprao Road, Bangkapi , Bangkok 10240.",13.767012,100.644368
"LA FLORA, PATONG PHUKET","39, 39/1 Thawiwong Road, Patong, Kratu, Phuket 83150",7.896465,98.295858
J-AVENUE THONGLOR,"323/1-3 Sukhumvit 55 (Thonglor) Soi 15, Klongton Nua, Wattana, Bangkok 10110",13.734388,100.582556
MAX VALU LAKSI (DRIVE-THRU),"78/23 Changwattana Road, Anusaowari, Bangkhen, Bangkok 10220",13.879977,100.590094
CENTRAL KHONKAEN,"99 Srichan Road, Nai Muang, Muang Khonkaen 40000",16.432606,102.82532
THE MARKET VILLAGE KAOYAI (DRIVE-THRU),"299/42 Moo 8, Mittapap Road, Pakchong, Nakorn Ratchasima 30130",14.660765,101.391439
CENTRAL RAMA 9,"9/9 Rama 9 Road, Huay Kwang, Bangkok 10310",13.758382,100.566315
MEGA BANGNA 1,"39 Moo 6, Bangna-Trad Road, Bangkaew, Bangphli, Samutprakarn 10540",13.644194,100.679955
CENTRAL UBONRAJTHANI,"311 Moo 7 Liangmuang Road, Jaeramae, Muang Ubonratchathani, Ubonratchathani 34000",15.239927,104.823037
PTT BANGPOON OUTBOUND (DRIVE-THRU),"3888/10 Moo 3 Rangsit-Pathumthani Road, Bangpoon, Muang Pathumthani, Pathumthani 12000",13.986181,100.587671
HANGDONG CHIANGMAI (DRIVE-THRU),"111/14 Moo 10, Chiangmai-Hod Road, Padad, Muang Chiangmai, Chiangmai 50105",18.758566,98.970642
LOTUS 'S HADYAI (DRIVE-THRU),"1142 Kanchanawanit Road, Hadyai, Songkla 90110",7.00695,100.492621
PATTAYA POST OFFICE,183/2-4 Moo10 Tambon Nhongprue AmphoeBanglamung Chonburi Province 20150,12.930449,100.878396
BUKIS PHUKET (DRIVE-THRU),"89 Moo 5, Vichit, Muang Phuket, Phuket 83000",7.895009,98.368351
1st AVENUE - ZHULIAN (DRIVE-THRU),"88/2 Moo 9 Laharn, Bangbuathong, Nonthaburi 11110",13.955861,100.405684
MAJOR CINEPLEX PINKLAO,"106 Boromrajchonnanee Road, Bangbumru, Bangplad, Bangkok 10700",13.78001,100.477996
THE AVENUE RATCHAYOTHIN (DRIVE-THRU),"234/2 , Room B- 101 , 1st Floor , Ratchadapisek Road , Chatuchak, Bangkok .",13.828211,100.566447
MEGA BANGNA 2,"39 Moo 6, Bangna-Trad Road, Bangkaew, Bangphli, Samutprakarn 10540",13.644402,100.680234
PTT WANGNOI AYUDHAYA INBOUND (DRIVE-THRU),"12/2 Moo 3 Rojana Road, Lumtasao, Wangnoi, Pranakorn Sriayudhaya 13170",14.236011,100.724284
PASEO PARK (DRIVE-THRU),"8/11 Kanchanapisek Road, Salathamsop, Taweewattana, Bangkok 10170",13.767182,100.406803
BURIRAM 'S CASTLE (DRIVE-THRU),"444/8 Moo 15, Isan, Muang Buriram, Buriram 31000",14.965897,103.092114
ROBINSON PETCHBURI (DRIVE-THRU),"162/2 Moo 1 Samo Phlue, Banlad, Petchburi 76150",13.062898,99.945736
DONMAUNG AIRPORT - INTER LANDSIDE,"222 Terminal 1 (International Landside), Vibhavadi Road, Sanambin, Donmueang, Bangkok 10210",13.921404,100.606098
ROBINSON SUKUMVIT,"259 Sukhumvit Road, Klongtoey, Klongtoey, Bangkok 10110",13.738111,100.559441
MAJOR CINEPLEX SUKHUMVIT 61 (EKAMAI),"1221/39 Sukhumvit 61 Road, Klongton Nua, Klongtoey, Bangkok 10110",13.721404,100.583605
LOTUS 'S RAMA 4,"3300 Lotus Super Center Building, Rama 4, Rama 4 Road, Klong Toey, Bangkok 10110 .",13.718114,100.568789
"CHAWENG BEACH, KOH SAMUI","No. 202 /1 Moo 2 (Long Beach Shopping Center ) , Bophut, Koh Samui , Surat Thani 84320 .",9.531885,100.063858
ESPLANADE RATCHADA,"99 Ratchadapisek Road, Din Daeng, Bangkok 10400",13.766592,100.569767
DONMUEANG AIRPORT - DOMESTIC AIRSIDE,"222 Terminal 2 (Domestic Airside), Vibhavadi Road, Sanambin, Donmueang, Bangkok 10210",13.912086,100.603652
M-PARK RANGSIT KLONG 3 (DRIVE-THRU),"5/22 Moo 2  Rangsit-Nakornnayok Road, Bungyitho, Thanyaburi, Pathumthani 12110",13.99583,100.665177
SUPREME SAMSEN,"1024 Samsen Road, Thanon Nakornchaisri, Dusit, Bangkok 10300",13.789978,100.515171
THE COAST BANGNA,"888 Sukhumvit Road, Bangna, Bangkok 10260",13.672497,100.605666
CENTRAL SALAYA,"99/19, 99/20 Moo 2, Boromratchonnanee Road, Bangtoey, Sampran,Nakornpathom 73210",13.786148,100.275662
ESSO RAYONG (DRIVE-THRU),"539 Moo 6 Makhamkoo, Nikom Pattana, Rayong 21180",12.831071,101.128078
PORTO GO BANGPA-IN (DRIVE-THRU),"80/8 Moo 4 Klong Jik, Bangpa-in, Pranakorn Sriayudhaya 13160",14.201841,100.608201
ROBINSON BANGRAK,"1522 Charoenkrung Road, Bangrak, Bangkok 10500",13.719357,100.515365
CENTRAL LADPRAO,"1697 Phaholyothin Road, Ladyao, Chatuchak, Bangkok 10900",13.815706,100.560543
BIG C TIWANON,"9/9 Moo 5, Bangkok-Nonthaburi Road, Taladkwan, Muang Nonthaburi, Nonthaburi 11000",13.845039,100.510876
CENTRAL RAMA 2,"160, Rama 2 Road, Samae Dam, Bangkhuntien, Bangkok 10150",13.66272,100.437559
SIAM PARAGON 1,"991 Rama 1 Road, Pathumwan, Bangkok 10330",13.745943,100.534422
IMM THAPAE CHIANGMAI,"17/1 Khotchasan Road, Changklan, Muang Chiangmai, Chiangmai 50100",18.787956,98.993037
KANCHANAPISEK - KALLAPAPRUEK (DRIVE-THRU),"68/1 Kanchanapisek Road, Bangkae, Bangkok 10160",13.695467,100.408065
LOTUS 'S CHOENGTALAY PHUKET,"No. 474 Tesco Lotus supermarket branches Thalang Road, Cherng Talay, Thalang, Phuket 83110 .",7.986159,98.301737
CENTRAL FESTIVAL PATTAYA 1,"333/99 Moo 9, Chaihad Pattaya Road, Nongprue, Banglamung, Chonburi 20260",12.934791,100.882833
M-PARK KANCHANABURI (DRIVE-THRU),"12/5 Sangchuto Road, Bantai, Muang, Kanchanaburi 71000",14.011986,99.53719
PTT 345 INBOUND (DRIVE-THRU),"272/4 Moo 2, Petchkasem Road Inbound km.61, Lampaya, Mueang Nakornpathom, Nakornpathom 73000",13.804452,100.022826
ROBINSON SAMUTPRAKARN,"789 Moo 2, Sukhumvit Road, Taibanmai, Mueang Samutprakarn, Samutprakarn 10270",13.584278,100.609027
LOTUS 'S RAMINDRA (DRIVE-THRU),59 praditmanutham Khwaeng Ladprao Khet Ladprao Bangkok 10230,13.801221,100.614464
BIG C LOPBURI,"2 Moo 1, Tasala, Muang Lopburi, Lopburi 15000",14.793252,100.671389
BANGCHAK CHONBURI BYPASS (DRIVE-THRU),"258/5 Moo 10 Bansuan, Muang Chonburi, Chonburi 20000",13.361923,101.015478
BIG C NAKORNPATHOM,"754 Petchkasem Road, Huay Jorake, Muang Nakornpathom, Nakornpathom 73000",13.812071,100.072365
LOTUS 'S RAMA 4,"3300 Lotus Super Center Building, Rama 4, Rama 4 Road, Klong Toey, Bangkok 10110 .",13.717106,100.568416
LOTUS 'S PRACHACHUEN,"No. 829 Tesco Lotus. Sue branch Prachawad 2 , Bang Sue, Bangkok 10800 .",13.805895,100.534388
LOTUS 'S PHUKET,"No. 104 Moo 5 Rama 9 Radsada A. Muang , Phuket 83000.",7.993957,98.302231
CENTRAL PINKLAO,"7/259 Boromratchonnanee Road, Arunamarin, Bangkoknoi, Bangkok 10700",13.778318,100.476193
THE NINE RAMA 9,"999/4 Rama 9 Road, Suanluang, Bangkok 10250",13.741115,100.625807
CENTRAL PHITSANULOK,"No. 9/99 , Central Plaza Phitsanulok Room No. 162-165 , 1st Floor, Moo 5 , Muang , Phitsanulok 65000",16.840897,100.23472
HOLIDAY INN EXPRESS,"889 Rama 1 Road, Wangmai, Pathumwan, Bangkok 10330",13.746963,100.527611
KLANG RAYONG (DRIVE-THRU),218/8 Sukhumvit Rd. Tambon Thangkwien Amphoe Klang Rayong 21110,12.7866,101.66502
LOTUS 'S CHANTABURI,"25/4 Prayatrang Road, Watmai, Mueng Chantaburi, Chantaburi 22000",12.614948,102.101691
SEACON BANGKAE,"607 Petchkasem Road, Bangwa, Phasee Charoen, Bangkok 10160",13.712058,100.434995
PTT MOTORWAY INBOUND,"85/67 Motorway (West) Moo 7, Kaodin, Bangpakong, Chachoengsao 24130",13.539465,101.008266
MINI SIAM (DRIVE-THRU),"387/7 Moo 6, Sukhumvit Road, Naklua, Banglamung, Chonburi 20150",12.955206,100.907953
PTT RAMA 2 KM 35 (DRIVE-THRU),"5/14 Moo 3 Thonburi Pakthor, Bangkrachao, Muang Samutsakorn, Samutsakorn 74000",13.532486,100.2102
IBIZ NAKORNSRITHAMMARAT (DRIVE-THRU),"899 Pattanaklangkookwang Road, Nai Muang,  Muang Nakornsrithammarat, Nakornsrithammarat 80000",8.427166,99.97211
CENTRAL HADYAI,"1518, 1518/1 &1518/2 Kanchanawanich Road, Hadyai, Songkla 90110",6.981977,100.48375
EMQUARTIER,"689 Sukhumvit Road, Klongton Nua, Wattana, Bangkok 10110",13.731231,100.5696
PTT WANGMANAO (DRIVE-THRU),"147/19 Moo 10, Nongprue, Banglamung, Chonburi 20150",13.341542,99.839515
