store_uid,store_id,store_number,name,address,lat,lng,open_time,close_time,store_type,has_tx
530,1415,203090,Pizza Com Wongweinyai,"No.101 Ladya Rd., Somdetchaopraya, Klongsan, Bangkok 10600",13.7264510,100.4943910,10:00:00,22:00:00,DLC,False
153,2674,203221,Pizza Com Saitai Mai,No. 24/6 Moo.8  Flor1 Tower Somprasong  Saitaimai Station Boromrajchonnanee Road Chimpree Talingchan Bangkok 10170,13.7801400,100.4237700,,,DLC,False
541,2432,203203,Pizza Com Prannok,"No.307/1-2 Itsaraphap Rd., Banchanglor, Bangkoknoi, Bangkok 10700",13.7556810,100.4778730,10:00:00,00:30:00,DLC,False
1186,2247,203185,Pizza Com Tha-Kham,"No.79/3 Tha Kham Rd., Tha Kham, Bang Khun Thian, Bangkok 10150",13.6517850,100.4437080,10:00:00,22:00:00,DLC,False
469,2514,270821,Pizza Com Lotus Rama 2,"Lotus Rama 2 No.88/2528 Moo 6, Rama 2 Rd., Samamdam, Bangkhunthien, Bangkok 10150",13.6478170,100.4190990,10:00:00,22:00:00,FSR,False
229,1358,201066,Pizza Com Central Rama 2,"Central Rama 2 No.160 Moo 6ม G Floor, Room No. G42-G43., Samae Dum, Bang Khunthian, Bangkok 10150",13.6629540,100.4374850,10:00:00,21:00:00,FSR,False
283,2964,203220,Pizza Com Bangkradi,"77/319 Thnn Bangkridi Khaewng Samae Dam Subdistrict, Bang Khun Thuan District Bangkok",13.6310170,100.4000930,,,DLC,False
294,1309,203044,Pizza Com PTT Sakae-Ngam,"PTT Sakaegham Service Station No.1 Soi Sakaegham 14, Sakaegham Rd., Samaedam, Bangkhuntien, Bangkok 10150",13.6376560,100.4174020,10:00:00,00:30:00,DLC,False
580,1986,201094,Pizza Com Seacon Bangkae,"Seacon Bangkae unit 103 No.607 Phetkasem Rd., Bang Wa, Phasi Charoen, Bangkok 10160",13.7117500,100.4342320,10:00:00,21:00:00,FSR,False
116,2214,203179,Pizza Com Charansanitwong Soi 13,"No.679 Soi Charansanitwong 13 , Charansanitwong Rd., Bang Waek, Phasi Charoen, Bangkok 10160",13.7371990,100.4330460,10:00:00,22:00:00,DLC,False
275,1272,203022,Pizza Com Bangbon 5,"No.315, 317 Ma-Charoen Rd., Nongkhaem, Nongkhaem, Bangkok, 10160",13.6770440,100.3455240,10:00:00,22:00:00,DLC,False
557,2641,270096,Pizza Com Lotus Bangpakok,"Tesco Lotus Bangpakok No.538/2 Moo 4, Bangpakok, Ratchaburana, Bangkok, 10140",13.6773790,100.5012990,,,FSR,False
343,2069,203159,Pizza Com Bangpakaew,"No.373 Suksawat Rd., Bang Pakok, Rat Burana, Bangkok 10140",13.6869530,100.4860910,10:00:00,00:30:00,DLC,False
154,1377,270053,Pizza Com Lotus Charansanitwong,"Tesco Lotus Charansanitwong No.244 Charansanitwong Rd., Bangplad, Bangplad, Bangkok 10700",13.7880590,100.5022000,10:00:00,22:00:00,RBD,False
383,2433,203205,Pizza Com Bangplad,"No.367 Charansanitwong Rd., Bangbumrhu, Bangplad, Bangkok 10700",13.7798332,100.4872114,10:00:00,00:30:00,DLC,False
376,2398,203196,Pizza Com Intamara,"No.1291, 1293 Sudthisarnvinitchai, Dindaeng, Dindaeng, Bangkok 10400",13.7897260,100.5678050,10:00:00,22:00:00,DLC,False
349,1945,203149,Pizza Com Prachasongkro,"No.4677-4679 Prachasongkhro Rd., Dindang, Dindang, Bangkok 10400",13.7701070,100.5593810,10:00:00,00:30:00,DLC,False
476,1238,203010,Pizza Com Sukhapiban 1,"No.70/264-265 Moo 5 Sukhapiban 1 Rd., Klongkum, BuengKum, Bangkok 10240",13.7958200,100.6507230,10:00:00,22:00:00,DLC,False
328,1441,203124,Pizza Com Nuanchan,"No.51/31 Nuanjan Rd., Nuanjan, Bungkum, Bangkok 10241",13.8267310,100.6402700,10:00:00,22:00:00,DLC,False
