lat,lng,address,type,content
7.007447,100.49159,,dq,Lotus Hatyai
7.019704,100.485529,,dq,Big C Hatyai
7.904508,98.368964,,dq,Lotus Phuket
7.895984,98.36733,,dq,Big C Phuket
7.891512,98.367742,,dq,Central Festival Phuket
7.891207,98.299408,,dq,Jungcelon 1
7.891335,98.299273,,dq,Jungcelon 2
7.563683,99.626346,,dq,"Robinson Trang, G fl."
7.542032,99.618506,,dq,Lotus Trang
7.038321,100.467335,,dq,Big C Hatyai
8.167218,99.648562,,dq,Lotus Tungsong
9.1035964,99.3067556,,dq,Lotus Suratthani
7.000312,100.443932,,dq,Lotus Hatyai
8.437367,99.968871,,dq,Robinson Nakornsrithammarat
8.0214,98.337839,,dq,Lotus Thalang
7.87751,98.394395,,dq,Robinson Phuket
8.108765,98.938852,,dq,Lotus Krabi
13.07928,99.947759,,dq,Big C Phetchaburi
12.982335,99.899714,,dq,Lotus Thayang
7.200665,100.588943,,dq,Leesubsin Songkhla
12.557598,99.959615,,dq,HuaHin Market Village 1
12.557598,99.959615,,dq,HuaHin Market Village 2
11.797509,99.776663,,dq,Lotus Prajuabkirikhan
14.97312,102.097586,,dq,"Klang Plaza, BF fl."
14.981668,102.069759,,dq,Lotus Korat
14.9809392,102.0767125,,dq,"The Mall Korat, 1 fl."
14.9817,102.092194,,dq,Big C Korat
14.979812,102.076235,,dq,"The Mall Korat, B fl."
14.950564,102.126343,,dq,Lotus Korat
16.42275,102.834588,,dq,"Fairy Plaza Khon Kaen, 1 fl."
16.424781,102.818576,,dq,Big C Khon Kaen
16.432131,102.826513,,dq,"Central Plaza Khon Kaen,G fl."
16.432806,102.825837,,dq,"Central Plaza Khon Kaen, 4 fl."
16.430118,102.832106,,dq,Tuk Com Khon Kaen
16.491786,102.831652,,dq,Lotus Khon Kaen
10.503012,99.139137,,dq,Lotus Chumphon
9.936086,98.631397,,dq,Lotus Ranong
8.160092,99.675845,,dq,Sahathai Plaza Thungsong
10.49778,99.176228,,dq,Ocean Shopping Mall Chumphon
16.421908,103.505959,,dq,Lotus Kalasin
6.645226,100.428727,,dq,Lotus Sadao
9.115856,99.303956,,dq,Central Plaza Suratthani
16.49013,102.436043,,dq,Lotus Nongrua Khon Kaen
17.1592,104.1496,,dq,Big C Sakon Nakhon
8.398028,99.975313,,dq,Lotus Nakhonsithammarat
9.147678,99.369766,,dq,Big C Suratthani
9.10976,99.302033,,dq,Tops Central Suratthani
16.524656,102.110725,,dq,Lotus Chum Phae Khon Kaen
12.391744,99.918479,,dq,Lotus Pranburi
14.956722,102.045064,,dq,Save One Korat
16.201255,103.276827,,dq,Lotus Sermthai Mahasarakham
16.075674,103.648873,,dq,Big C Roi Et
8.661998,99.925282,,dq,Lotus Thasala Nakhon Si Thammarat
14.872871,103.509663,,dq,Big C Surin
14.9777,103.0736,,dq,Big C Buriram
14.9884,103.0882,,dq,Taweekit Buriram
15.1078,104.369594,,dq,Lotus Sisaket
17.1784,104.1191,,dq,Robinson Sakon Nakhon
7.625602,100.046459,,dq,Lotus Phatthalung
16.447457,103.523386,,dq,Big C Kalasin
9.532969,100.041329,,dq,Lotus Samui Chaweng Beach
13.8225171,102.0626247,,dq,Big C Sakaew
13.710578,102.482683,,dq,Lotus Aranyaprathet
14.662145,101.392553,,dq,Lotus Pakchong
17.468952,101.726316,,dq,Big C Loei
16.423138,101.154495,,dq,Lotus Topland Phetchabun
18.764773,100.761649,,dq,Lotus Nan
18.135842,100.140278,,dq,Big C Phrae
17.607715,100.082348,,dq,Lotus Uttaradit
14.890182,103.490804,,dq,Surin Plaza
15.111746,104.328579,,dq,Soon Heng Plaza Sisaket
8.440878,99.963059,,dq,Big C Sahathai Nakhon Si Thammarat
8.639299,99.351589,,dq,Lotus Wiang Sa
16.4750797,99.5416307,,dq,Big C Kamphaengphet
15.59634,102.419494,,dq,Lotus Buayai
9.471017,100.045123,,dq,Lotus Lamai Samui
16.397337,101.137361,,dq,Lotus Phetchabun
7.153197,100.601377,,dq,Lotus Songkhla
7.839464,98.334341,,dq,Lotus Chalong Phuket
7.545383,99.614923,,dq,Big C Trang
16.401015,102.817089,,dq,Lotus Khon Kaen
6.991463,100.483317,,dq,Central Festival Hatyai
14.8763,103.5323,,dq,Robinson Surin
16.787189,101.239472,,dq,Lotus Lomsak
9.530614,100.060745,,dq,Central Festival Samui
14.20776,101.217706,,dq,Lotus Nakhon Nayok
13.896082,101.579218,,dq,Lotus Srimahapho
13.9846528,101.7715882,,dq,Lotus Kabinburi
14.058436,101.391407,,dq,Lotus Prachinburi
13.902274,101.57571,,dq,Big C Srimahaphot
17.4706,103.4394,,dq,Lotus Sawang Daen Din
14.64808,104.635205,,dq,Lotus Kantharalak
12.254922,102.510928,,dq,Lotus Trat
7.36219,100.123006,,dq,Lotus Mae Khri Phatthalung
16.054976,103.638612,,dq,Lotus Roi Et
16.054976,103.638612,,dq,Robinson Roi Et
9.936351,99.062979,,dq,Lotus Langsuan
13.410635,100.020136,,dq,Big C Samutsongkhram
13.401671,100.004804,,dq,Lotus Samut Songkhram
12.5999,102.1152,,dq,Robinson Chanthaburi
12.623457,102.100891,,dq,Lotus Chanthaburi
12.5981,102.0987,,dq,Big C Chanthaburi
